Game,Level,Agent,Result,Num of steps,Time
0,easy,search,Success,26,0.0213320255279541
1,easy,search,Failed,3,0.0021800994873046875
2,easy,search,Failed,2,0.0012516975402832031
3,easy,search,Success,25,0.01576399803161621
4,easy,search,Success,27,0.02001786231994629
5,easy,search,Success,26,0.015722990036010742
6,easy,search,Failed,17,0.010519027709960938
7,easy,search,Failed,4,0.003036975860595703
8,easy,search,Success,22,0.014080047607421875
9,easy,search,Success,20,0.012128114700317383
10,easy,search,Success,21,0.016099214553833008
11,easy,search,Success,21,0.012681007385253906
12,easy,search,Success,29,0.01961803436279297
13,easy,search,Success,25,0.016238927841186523
14,easy,search,Failed,2,0.0011298656463623047
15,easy,search,Success,42,0.030487775802612305
16,easy,search,Success,24,0.012009143829345703
17,easy,search,Success,34,0.028218984603881836
18,easy,search,Failed,3,0.0018076896667480469
19,easy,search,Success,28,0.020218849182128906
20,easy,search,Success,23,0.01666092872619629
21,easy,search,Success,30,0.02365398406982422
22,easy,search,Success,27,0.018136978149414062
23,easy,search,Success,23,0.013767004013061523
24,easy,search,Success,16,0.008906126022338867
25,easy,search,Success,27,0.019875764846801758
26,easy,search,Success,29,0.021688222885131836
27,easy,search,Success,30,0.019222021102905273
28,easy,search,Success,29,0.031805992126464844
29,easy,search,Success,21,0.018277883529663086
30,easy,search,Success,36,0.02917313575744629
31,easy,search,Success,31,0.013539791107177734
32,easy,search,Failed,2,0.0011928081512451172
33,easy,search,Success,32,0.02437114715576172
34,easy,search,Success,28,0.02262091636657715
35,easy,search,Success,20,0.013314008712768555
36,easy,search,Success,33,0.026065826416015625
37,easy,search,Success,29,0.019575119018554688
38,easy,search,Failed,2,0.001107931137084961
39,easy,search,Failed,3,0.0021600723266601562
40,easy,search,Success,23,0.01318502426147461
41,easy,search,Success,22,0.015315055847167969
42,easy,search,Success,20,0.012604236602783203
43,easy,search,Success,29,0.024537086486816406
44,easy,search,Success,31,0.027773141860961914
45,easy,search,Success,21,0.013427019119262695
46,easy,search,Success,44,0.04481101036071777
47,easy,search,Success,25,0.010923624038696289
48,easy,search,Success,24,0.01470327377319336
49,easy,search,Failed,3,0.002251863479614258
50,easy,search,Success,26,0.019403934478759766
51,easy,search,Success,25,0.01674795150756836
52,easy,search,Failed,2,0.0010797977447509766
53,easy,search,Success,51,0.04306602478027344
54,easy,search,Success,25,0.01718616485595703
55,easy,search,Failed,2,0.0010788440704345703
56,easy,search,Success,17,0.008882999420166016
57,easy,search,Failed,2,0.0010859966278076172
58,easy,search,Success,34,0.023743867874145508
59,easy,search,Success,23,0.013063907623291016
60,easy,search,Success,29,0.019581079483032227
61,easy,search,Success,30,0.02726602554321289
62,easy,search,Success,34,0.025120973587036133
63,easy,search,Failed,2,0.0011782646179199219
64,easy,search,Success,22,0.017077922821044922
65,easy,search,Success,23,0.012145280838012695
66,easy,search,Success,32,0.025619983673095703
67,easy,search,Success,31,0.02646780014038086
68,easy,search,Success,37,0.03027796745300293
69,easy,search,Success,23,0.021747827529907227
70,easy,search,Success,29,0.0229947566986084
71,easy,search,Failed,2,0.0012710094451904297
72,easy,search,Success,28,0.015425920486450195
73,easy,search,Failed,3,0.0019712448120117188
74,easy,search,Success,17,0.008404016494750977
75,easy,search,Success,26,0.013697147369384766
76,easy,search,Success,35,0.020411252975463867
77,easy,search,Success,24,0.018299102783203125
78,easy,search,Failed,3,0.0020978450775146484
79,easy,search,Success,21,0.014860153198242188
80,easy,search,Success,30,0.01977682113647461
81,easy,search,Success,29,0.01833796501159668
82,easy,search,Success,28,0.018700122833251953
83,easy,search,Failed,2,0.0011827945709228516
84,easy,search,Failed,3,0.001993894577026367
85,easy,search,Success,39,0.023756027221679688
86,easy,search,Success,29,0.015837907791137695
87,easy,search,Success,21,0.013806819915771484
88,easy,search,Success,27,0.023334264755249023
89,easy,search,Failed,5,0.003326892852783203
90,easy,search,Success,29,0.02529311180114746
91,easy,search,Success,27,0.022073030471801758
92,easy,search,Success,33,0.026501893997192383
93,easy,search,Success,36,0.02223372459411621
94,easy,search,Failed,4,0.002747058868408203
95,easy,search,Success,39,0.031488895416259766
96,easy,search,Success,24,0.0196990966796875
97,easy,search,Success,34,0.022796154022216797
98,easy,search,Success,26,0.018983840942382812
99,easy,search,Success,20,0.007967948913574219
