Game,Level,Result,Num of steps,Time
0,easy,0,200,0.04603219032287598
1,easy,1,2,0.00044798851013183594
2,easy,0,200,0.04436683654785156
3,easy,0,200,0.047152042388916016
4,easy,1,3,0.0008809566497802734
5,easy,0,200,0.044315338134765625
6,easy,0,200,0.0437769889831543
7,easy,2,1,0.0002760887145996094
8,easy,0,200,0.042266845703125
9,easy,0,200,0.04423809051513672
10,easy,0,200,0.043070077896118164
11,easy,0,200,0.043109893798828125
12,easy,0,200,0.04439282417297363
13,easy,0,200,0.04525494575500488
14,easy,0,200,0.04298710823059082
15,easy,0,200,0.049562931060791016
16,easy,0,200,0.04468202590942383
17,easy,0,200,0.04425692558288574
18,easy,2,1,0.0003440380096435547
19,easy,0,200,0.043367862701416016
20,easy,0,200,0.04413175582885742
21,easy,2,200,0.05989408493041992
22,easy,0,200,0.04391813278198242
23,easy,1,2,0.0004239082336425781
24,easy,2,1,0.000209808349609375
25,easy,1,2,0.0003409385681152344
26,easy,0,200,0.04415488243103027
27,easy,2,1,0.0002880096435546875
28,easy,1,4,0.0010540485382080078
29,easy,0,200,0.043431997299194336
30,easy,1,2,0.0004360675811767578
31,easy,1,2,0.0004138946533203125
32,easy,0,200,0.04360604286193848
33,easy,0,200,0.04518604278564453
34,easy,0,200,0.044508934020996094
35,easy,0,200,0.04466676712036133
36,easy,1,3,0.0009438991546630859
37,easy,1,3,0.0007171630859375
38,easy,1,2,0.00033092498779296875
39,easy,1,4,0.0010411739349365234
40,easy,0,200,0.04452180862426758
41,easy,0,200,0.042697906494140625
42,easy,0,200,0.04398989677429199
43,easy,2,200,0.06149101257324219
44,easy,1,2,0.0004220008850097656
45,easy,1,2,0.00037789344787597656
46,easy,1,3,0.0007598400115966797
47,easy,1,3,0.0006468296051025391
48,easy,2,1,0.0003581047058105469
49,easy,1,2,0.0003540515899658203
50,easy,1,3,0.0006771087646484375
51,easy,0,200,0.04355287551879883
52,easy,0,200,0.04398608207702637
53,easy,2,200,0.05745267868041992
54,easy,1,6,0.0018191337585449219
55,easy,0,200,0.045224905014038086
56,easy,1,3,0.0007679462432861328
57,easy,0,200,0.04190206527709961
58,easy,0,200,0.042896270751953125
59,easy,1,6,0.0018820762634277344
60,easy,0,200,0.046404123306274414
61,easy,0,200,0.047718048095703125
62,easy,0,200,0.045619964599609375
63,easy,0,200,0.0471348762512207
64,easy,0,200,0.04388570785522461
65,easy,0,200,0.044326066970825195
66,easy,2,1,0.0006289482116699219
67,easy,0,200,0.04556608200073242
68,easy,0,200,0.04344916343688965
69,easy,0,200,0.04441118240356445
70,easy,0,200,0.04472208023071289
71,easy,0,200,0.04522275924682617
72,easy,2,1,0.00029397010803222656
73,easy,2,200,0.05173897743225098
74,easy,0,200,0.04217791557312012
75,easy,1,2,0.0003998279571533203
76,easy,0,200,0.045638084411621094
77,easy,0,200,0.04566597938537598
78,easy,1,9,0.003462076187133789
79,easy,0,200,0.04278707504272461
80,easy,1,4,0.00121307373046875
81,easy,0,200,0.04383516311645508
82,easy,0,200,0.04656982421875
83,easy,1,1,0.00027489662170410156
84,easy,1,2,0.00033092498779296875
85,easy,0,200,0.041871070861816406
86,easy,0,200,0.04570126533508301
87,easy,1,3,0.0007617473602294922
88,easy,0,200,0.044325828552246094
89,easy,0,200,0.04297995567321777
90,easy,0,200,0.044484853744506836
91,easy,0,200,0.042083024978637695
92,easy,0,200,0.04321575164794922
93,easy,0,200,0.04462003707885742
94,easy,1,3,0.0008020401000976562
95,easy,2,1,0.00020384788513183594
96,easy,0,200,0.043784141540527344
97,easy,0,200,0.04487180709838867
98,easy,2,200,0.05760002136230469
99,easy,1,2,0.00045013427734375
