Game,Level,Result,Num of steps,Time
0,easy,0,28,0.02766108512878418
1,easy,1,3,0.0014767646789550781
2,easy,0,28,0.02537703514099121
3,easy,0,22,0.018643856048583984
4,easy,0,36,0.04318428039550781
5,easy,0,36,0.035552978515625
6,easy,0,35,0.033747196197509766
7,easy,0,32,0.04117774963378906
8,easy,0,35,0.08638596534729004
9,easy,0,26,0.028385162353515625
10,easy,0,33,0.03501391410827637
11,easy,0,29,0.027811050415039062
12,easy,0,21,0.016927242279052734
13,easy,1,3,0.001750946044921875
14,easy,0,24,0.02236795425415039
15,easy,0,29,0.03078603744506836
16,easy,0,29,0.02704000473022461
17,easy,0,24,0.022692203521728516
18,easy,0,25,0.023866891860961914
19,easy,0,25,0.026919126510620117
20,easy,0,36,0.03745007514953613
21,easy,1,4,0.003912925720214844
22,easy,0,40,0.06949090957641602
23,easy,1,3,0.0013091564178466797
24,easy,0,23,0.02381730079650879
25,easy,0,29,0.027489662170410156
26,easy,0,16,0.016750097274780273
27,easy,0,30,0.026009082794189453
28,easy,1,3,0.0022211074829101562
29,easy,1,13,0.010537862777709961
30,easy,0,24,0.015420198440551758
31,easy,1,19,0.020660877227783203
32,easy,0,26,0.03159022331237793
33,easy,1,13,0.020618915557861328
34,easy,0,25,0.0190579891204834
35,easy,0,31,0.032354116439819336
36,easy,0,28,0.025650978088378906
37,easy,0,34,0.0420839786529541
38,easy,0,32,0.037711143493652344
39,easy,1,3,0.0008780956268310547
40,easy,0,17,0.012594938278198242
41,easy,1,3,0.0007839202880859375
42,easy,1,6,0.0024061203002929688
43,easy,0,27,0.02225208282470703
44,easy,0,25,0.02108311653137207
45,easy,1,3,0.0012540817260742188
46,easy,0,23,0.021281003952026367
47,easy,0,32,0.03461408615112305
48,easy,1,5,0.003267049789428711
49,easy,0,27,0.02371501922607422
50,easy,0,17,0.010765790939331055
51,easy,1,22,0.018954992294311523
52,easy,1,9,0.010995864868164062
53,easy,0,31,0.03165388107299805
54,easy,0,27,0.029453039169311523
55,easy,1,3,0.0009632110595703125
56,easy,1,20,0.02044391632080078
57,easy,0,21,0.0200350284576416
58,easy,0,22,0.014398813247680664
59,easy,0,31,0.032917022705078125
60,easy,0,25,0.023830890655517578
61,easy,1,8,0.008067846298217773
62,easy,0,34,0.02927684783935547
63,easy,1,3,0.001007080078125
64,easy,0,25,0.018090009689331055
65,easy,1,3,0.0013229846954345703
66,easy,0,26,0.022124767303466797
67,easy,0,22,0.021739959716796875
68,easy,0,24,0.02283501625061035
69,easy,1,7,0.008947134017944336
70,easy,1,3,0.0009088516235351562
71,easy,0,35,0.042654991149902344
72,easy,0,25,0.02608323097229004
73,easy,0,26,0.030371904373168945
74,easy,1,23,0.02686905860900879
75,easy,0,23,0.01971888542175293
76,easy,1,18,0.017694950103759766
77,easy,0,34,0.03404593467712402
78,easy,0,24,0.026090145111083984
79,easy,1,3,0.0009732246398925781
80,easy,0,29,0.030855894088745117
81,easy,0,39,0.04628920555114746
82,easy,1,13,0.012730121612548828
83,easy,1,3,0.0007178783416748047
84,easy,0,12,0.005816936492919922
85,easy,1,3,0.0007271766662597656
86,easy,0,24,0.024972915649414062
87,easy,0,27,0.029332876205444336
88,easy,1,3,0.0010268688201904297
89,easy,1,3,0.0010859966278076172
90,easy,0,21,0.012964010238647461
91,easy,1,3,0.0009741783142089844
92,easy,1,4,0.0036878585815429688
93,easy,0,45,0.041925907135009766
94,easy,0,27,0.02249312400817871
95,easy,0,22,0.018971920013427734
96,easy,1,6,0.005177736282348633
97,easy,0,26,0.019613981246948242
98,easy,0,37,0.03921794891357422
99,easy,0,37,0.03154110908508301
