Game,Level,Result,Num of steps,Time
0,easy,1,8,0.01588606834411621
1,easy,0,27,0.09481191635131836
2,easy,1,3,0.0019268989562988281
3,easy,0,21,0.05849099159240723
4,easy,0,27,0.05857086181640625
5,easy,1,23,0.08688735961914062
6,easy,0,27,0.0558629035949707
7,easy,1,7,0.011505842208862305
8,easy,0,44,0.16917181015014648
9,easy,0,35,0.07033824920654297
10,easy,0,28,0.06802201271057129
11,easy,1,26,0.03301882743835449
12,easy,1,6,0.013965129852294922
13,easy,1,24,0.13415312767028809
14,easy,0,35,0.1125941276550293
15,easy,1,3,0.017283916473388672
16,easy,0,26,0.04392218589782715
17,easy,0,32,0.060395002365112305
18,easy,1,3,0.0009808540344238281
19,easy,0,32,0.047016143798828125
20,easy,1,3,0.0022270679473876953
21,easy,0,28,0.03940916061401367
22,easy,1,4,0.0017852783203125
23,easy,1,26,0.029250144958496094
24,easy,0,23,0.035447120666503906
25,easy,1,26,0.04502677917480469
26,easy,0,25,0.051647186279296875
27,easy,0,25,0.03812408447265625
28,easy,1,31,0.0539240837097168
29,easy,0,24,0.04158210754394531
30,easy,0,34,0.09756898880004883
31,easy,1,7,0.01586318016052246
32,easy,1,4,0.002103090286254883
33,easy,0,27,0.058171749114990234
34,easy,0,30,0.04649209976196289
35,easy,0,27,0.049736976623535156
36,easy,1,27,0.05486011505126953
37,easy,1,3,0.003545045852661133
38,easy,1,24,0.0348668098449707
39,easy,0,31,0.0465238094329834
40,easy,0,28,0.05542492866516113
41,easy,1,5,0.004352092742919922
42,easy,0,24,0.03051590919494629
43,easy,0,29,0.0507349967956543
44,easy,1,3,0.0007312297821044922
45,easy,0,31,0.05996203422546387
46,easy,1,5,0.003386259078979492
47,easy,0,16,0.018208980560302734
48,easy,1,4,0.002079010009765625
49,easy,1,3,0.0009479522705078125
50,easy,0,30,0.05206108093261719
51,easy,0,17,0.04161810874938965
52,easy,0,27,0.06311297416687012
53,easy,0,13,0.01579117774963379
54,easy,1,3,0.0012059211730957031
55,easy,0,39,0.09560108184814453
56,easy,0,18,0.013896942138671875
57,easy,0,24,0.034818172454833984
58,easy,0,28,0.0548710823059082
59,easy,0,25,0.05937790870666504
60,easy,1,3,0.0008437633514404297
61,easy,0,37,0.060523033142089844
62,easy,0,32,0.05143094062805176
63,easy,1,7,0.01867985725402832
64,easy,0,29,0.06282591819763184
65,easy,0,20,0.01790595054626465
66,easy,1,4,0.0018050670623779297
67,easy,0,15,0.035008907318115234
68,easy,1,5,0.008253812789916992
69,easy,0,27,0.034583091735839844
70,easy,0,31,0.04364585876464844
71,easy,1,10,0.020494937896728516
72,easy,0,28,0.04026532173156738
73,easy,1,7,0.007628917694091797
74,easy,1,4,0.006778240203857422
75,easy,1,3,0.0008358955383300781
76,easy,0,46,0.09598422050476074
77,easy,1,24,0.05390214920043945
78,easy,0,27,0.03842782974243164
79,easy,1,13,0.009612083435058594
80,easy,0,19,0.05028080940246582
81,easy,0,35,0.057700157165527344
82,easy,1,22,0.03531384468078613
83,easy,1,4,0.0016529560089111328
84,easy,1,15,0.04817008972167969
85,easy,0,17,0.023360013961791992
86,easy,0,19,0.05523419380187988
87,easy,1,3,0.0009670257568359375
88,easy,0,16,0.03110027313232422
89,easy,0,14,0.011693954467773438
90,easy,0,32,0.05202984809875488
91,easy,0,27,0.035797119140625
92,easy,0,29,0.037902116775512695
93,easy,0,35,0.07301497459411621
94,easy,0,13,0.017398834228515625
95,easy,0,23,0.030886173248291016
96,easy,0,24,0.022417068481445312
97,easy,1,16,0.023990869522094727
98,easy,0,17,0.055119991302490234
