Game,Level,Result,Num of steps,Time
0,medium,1,3,0.004770040512084961
1,medium,1,14,0.11475515365600586
2,medium,1,28,0.2815587520599365
3,medium,1,43,0.4535958766937256
4,medium,0,62,0.6151270866394043
5,medium,1,17,0.16723299026489258
6,medium,0,105,1.2129020690917969
7,medium,1,12,0.06924295425415039
8,medium,1,104,1.2798070907592773
9,medium,1,6,0.026109933853149414
10,medium,1,130,1.364945888519287
11,medium,1,98,0.8392078876495361
12,medium,1,3,0.0027670860290527344
13,medium,1,104,1.0757451057434082
14,medium,1,113,1.11379075050354
15,medium,1,3,0.0031442642211914062
16,medium,1,30,0.2457420825958252
17,medium,1,3,0.002493143081665039
18,medium,1,42,0.4537699222564697
19,medium,1,10,0.04522418975830078
20,medium,1,51,0.42842698097229004
21,medium,0,125,1.8958978652954102
22,medium,0,57,0.41588687896728516
23,medium,1,5,0.016063928604125977
24,medium,0,59,0.46048498153686523
25,medium,1,3,0.0045108795166015625
26,medium,0,113,0.9978487491607666
27,medium,1,3,0.004042863845825195
28,medium,0,113,1.1825852394104004
29,medium,0,122,0.9504692554473877
30,medium,0,131,1.0855259895324707
31,medium,0,110,1.1763200759887695
32,medium,1,3,0.002750873565673828
33,medium,1,101,1.195181131362915
34,medium,1,114,1.1831867694854736
35,medium,1,3,0.003635883331298828
36,medium,1,9,0.06495785713195801
37,medium,0,50,0.5335359573364258
38,medium,0,130,1.3728692531585693
39,medium,1,3,0.004853963851928711
40,medium,1,83,0.9146552085876465
41,medium,1,18,0.10931992530822754
42,medium,0,64,0.8490240573883057
43,medium,1,7,0.03165602684020996
44,medium,0,56,0.5193579196929932
45,medium,1,6,0.018667221069335938
46,medium,0,113,1.3084230422973633
47,medium,1,80,0.8600661754608154
48,medium,0,104,0.8035380840301514
49,medium,0,68,0.5962111949920654
50,medium,0,100,1.2362799644470215
51,medium,0,102,1.075429916381836
52,medium,1,25,0.18263697624206543
53,medium,1,130,1.185887098312378
54,medium,0,55,0.610145092010498
55,medium,0,61,0.6457221508026123
56,medium,1,3,0.0028340816497802734
57,medium,1,4,0.010283946990966797
58,medium,1,116,1.3806731700897217
59,medium,0,99,0.972710132598877
60,medium,0,128,1.0143842697143555
61,medium,1,6,0.02371501922607422
62,medium,0,65,0.5995731353759766
63,medium,1,3,0.010982751846313477
64,medium,1,90,1.3331270217895508
65,medium,0,61,0.7733349800109863
66,medium,0,148,1.3832502365112305
67,medium,1,12,0.09699630737304688
68,medium,1,87,1.1283760070800781
69,medium,0,135,1.9403679370880127
70,medium,1,3,0.00416111946105957
71,medium,1,106,1.3385570049285889
72,medium,1,27,0.3279109001159668
73,medium,1,121,1.2221081256866455
74,medium,1,3,0.006450176239013672
75,medium,0,126,1.4184348583221436
76,medium,1,7,0.03319191932678223
77,medium,1,6,0.018703699111938477
78,medium,1,148,1.8463711738586426
79,medium,0,140,1.9121999740600586
80,medium,0,45,0.4861888885498047
81,medium,1,3,0.004520893096923828
82,medium,1,91,1.175929069519043
83,medium,1,108,1.4658217430114746
84,medium,1,6,0.03599214553833008
85,medium,1,3,0.005244731903076172
86,medium,1,4,0.02655625343322754
87,medium,1,100,1.2535269260406494
88,medium,0,114,1.346083164215088
89,medium,1,4,0.00531315803527832
90,medium,0,129,1.4475221633911133
91,medium,1,4,0.011728286743164062
92,medium,1,3,0.013565778732299805
93,medium,1,3,0.008070230484008789
94,medium,0,120,1.4625909328460693
95,medium,0,60,0.7115340232849121
96,medium,1,39,0.34928321838378906
97,medium,0,95,1.2400319576263428
98,medium,0,148,1.6986889839172363
99,medium,0,91,0.8081340789794922
100,medium,1,4,0.009440422058105469
101,medium,1,3,0.0026769638061523438
102,medium,0,119,1.487962007522583
103,medium,0,58,0.5305080413818359
104,medium,1,95,1.1156537532806396
105,medium,1,112,1.5455501079559326
106,medium,0,123,1.2345571517944336
107,medium,1,3,0.0051229000091552734
108,medium,0,121,1.3800568580627441
109,medium,1,4,0.00718998908996582
110,medium,0,98,1.0392661094665527
111,medium,0,114,0.9928700923919678
112,medium,0,129,1.1716749668121338
113,medium,0,140,1.0709712505340576
114,medium,0,65,0.6886720657348633
115,medium,1,5,0.016214609146118164
116,medium,1,6,0.033499956130981445
117,medium,0,59,0.49497294425964355
118,medium,1,5,0.026318073272705078
119,medium,1,110,0.9124600887298584
120,medium,1,69,0.7966411113739014
121,medium,0,50,0.5424728393554688
122,medium,1,16,0.18249917030334473
123,medium,1,3,0.002721071243286133
124,medium,0,39,0.6258339881896973
125,medium,0,141,1.5916950702667236
126,medium,0,102,1.026336908340454
127,medium,0,69,0.9060988426208496
128,medium,0,131,1.3490509986877441
129,medium,0,109,1.5431690216064453
130,medium,1,3,0.01493692398071289
131,medium,1,115,1.746095895767212
132,medium,1,3,0.00524592399597168
133,medium,0,119,2.5186898708343506
134,medium,1,105,2.3216800689697266
135,medium,0,120,2.488957166671753
136,medium,0,119,2.9794790744781494
137,medium,1,37,0.37473320960998535
138,medium,1,3,0.005572080612182617
139,medium,1,6,0.03176617622375488
140,medium,1,71,1.8836669921875
141,medium,1,4,0.022016048431396484
142,medium,0,122,3.0774829387664795
143,medium,0,88,1.1545331478118896
144,medium,1,104,2.8934478759765625
145,medium,0,110,1.6560347080230713
146,medium,0,108,1.7760229110717773
147,medium,1,4,0.011229991912841797
148,medium,1,3,0.004268169403076172
149,medium,1,3,0.0034978389739990234
150,medium,0,118,1.9626789093017578
151,medium,1,53,1.0495119094848633
152,medium,0,113,1.819342851638794
153,medium,1,3,0.0072209835052490234
154,medium,1,7,0.03373885154724121
155,medium,0,109,1.55586576461792
156,medium,1,3,0.002913236618041992
157,medium,0,115,1.7010927200317383
158,medium,1,123,2.0715839862823486
159,medium,0,52,0.6295239925384521
160,medium,1,4,0.008018016815185547
161,medium,0,122,1.3948166370391846
162,medium,1,4,0.007580995559692383
163,medium,0,46,0.8110768795013428
164,medium,1,4,0.022647857666015625
165,medium,0,120,1.4607868194580078
166,medium,1,116,1.4944241046905518
167,medium,0,129,1.40152907371521
168,medium,1,108,2.001255750656128
169,medium,0,64,0.8744199275970459
170,medium,1,3,0.002885103225708008
171,medium,0,111,1.0100040435791016
172,medium,1,3,0.005775928497314453
173,medium,0,51,0.5478332042694092
174,medium,0,123,1.575437068939209
175,medium,0,144,2.0730631351470947
176,medium,0,130,1.1172280311584473
177,medium,1,4,0.008089065551757812
178,medium,1,126,2.076632022857666
179,medium,1,120,1.6695747375488281
180,medium,1,136,2.496875047683716
181,medium,1,119,1.4588429927825928
182,medium,1,12,0.07996416091918945
183,medium,1,9,0.06621003150939941
184,medium,1,3,0.006357908248901367
185,medium,1,3,0.006951093673706055
186,medium,0,127,1.718843936920166
187,medium,0,122,1.3241779804229736
188,medium,0,49,0.9510960578918457
189,medium,1,3,0.006769895553588867
190,medium,0,73,0.7733569145202637
191,medium,1,6,0.02568793296813965
192,medium,1,115,1.313302993774414
193,medium,0,56,0.446868896484375
194,medium,0,119,1.7672359943389893
195,medium,0,125,1.734740972518921
196,medium,1,107,1.4321160316467285
197,medium,1,111,1.6886930465698242
198,medium,0,68,0.9655759334564209
199,medium,0,48,0.5955820083618164
200,medium,1,3,0.0047070980072021484
201,medium,1,3,0.0029649734497070312
202,medium,1,4,0.005162954330444336
203,medium,0,103,1.1532690525054932
204,medium,0,115,1.4201581478118896
205,medium,1,3,0.00904393196105957
206,medium,0,99,1.2082240581512451
207,medium,1,3,0.002900838851928711
208,medium,0,125,1.3414568901062012
209,medium,1,3,0.0057299137115478516
210,medium,0,52,0.543968915939331
211,medium,1,3,0.0029251575469970703
212,medium,1,5,0.010382890701293945
213,medium,1,72,0.6341419219970703
214,medium,1,80,0.8528091907501221
