Game,Level,Result,Num of steps,Time
0,easy,1,5,0.004873991012573242
1,easy,0,15,0.011399984359741211
2,easy,0,26,0.019982099533081055
3,easy,1,3,0.002054929733276367
4,easy,0,36,0.026157140731811523
5,easy,1,6,0.004909038543701172
6,easy,1,19,0.011493921279907227
7,easy,0,37,0.0346989631652832
8,easy,0,21,0.015375137329101562
9,easy,1,24,0.01481771469116211
10,easy,0,25,0.015942811965942383
11,easy,0,35,0.014275074005126953
12,easy,0,22,0.01384878158569336
13,easy,0,28,0.035032033920288086
14,easy,0,42,0.04103279113769531
15,easy,0,34,0.030163049697875977
16,easy,0,29,0.038311004638671875
17,easy,0,28,0.019634723663330078
18,easy,0,35,0.03703713417053223
19,easy,0,24,0.016377925872802734
20,easy,0,45,0.04806804656982422
21,easy,0,19,0.014777183532714844
22,easy,1,3,0.0023157596588134766
23,easy,1,23,0.009882211685180664
24,easy,0,34,0.026571989059448242
25,easy,1,21,0.013895988464355469
26,easy,0,27,0.020698070526123047
27,easy,0,40,0.03773188591003418
28,easy,0,33,0.020837068557739258
29,easy,0,21,0.01695990562438965
30,easy,0,18,0.011347055435180664
31,easy,1,7,0.005838871002197266
32,easy,0,25,0.014441967010498047
33,easy,1,3,0.0024881362915039062
34,easy,0,35,0.02918386459350586
35,easy,0,35,0.0316619873046875
36,easy,0,30,0.02021002769470215
37,easy,0,47,0.045243024826049805
38,easy,0,27,0.01518106460571289
39,easy,0,29,0.029127836227416992
40,easy,0,30,0.022107839584350586
41,easy,1,4,0.0034952163696289062
42,easy,0,31,0.030541181564331055
43,easy,1,3,0.0023069381713867188
44,easy,0,32,0.030031681060791016
45,easy,0,27,0.015120267868041992
46,easy,1,3,0.0020589828491210938
47,easy,0,23,0.014940261840820312
48,easy,0,27,0.026075124740600586
49,easy,0,23,0.018032073974609375
50,easy,0,33,0.020895957946777344
51,easy,0,32,0.02452683448791504
52,easy,1,3,0.0020678043365478516
53,easy,1,14,0.006841897964477539
54,easy,0,26,0.026554107666015625
55,easy,0,29,0.015996932983398438
56,easy,1,3,0.0020689964294433594
57,easy,0,34,0.03139996528625488
58,easy,0,23,0.018241167068481445
59,easy,0,25,0.02056884765625
60,easy,0,38,0.037671804428100586
61,easy,0,27,0.02048492431640625
62,easy,0,31,0.025920867919921875
63,easy,0,29,0.02958083152770996
64,easy,0,31,0.020793914794921875
65,easy,1,3,0.0026443004608154297
66,easy,1,6,0.005008697509765625
67,easy,0,35,0.022574663162231445
68,easy,0,36,0.033740997314453125
69,easy,0,28,0.02647686004638672
70,easy,0,41,0.04306483268737793
71,easy,0,24,0.014729976654052734
72,easy,0,29,0.025947093963623047
73,easy,1,3,0.002081155776977539
74,easy,0,32,0.020079851150512695
75,easy,0,31,0.03752303123474121
76,easy,1,3,0.0021619796752929688
77,easy,1,3,0.002299785614013672
78,easy,1,5,0.004502058029174805
79,easy,1,3,0.0022950172424316406
80,easy,1,3,0.0026443004608154297
81,easy,0,29,0.029716968536376953
82,easy,1,3,0.002020120620727539
83,easy,0,28,0.0179140567779541
84,easy,0,22,0.015453100204467773
85,easy,0,28,0.024692296981811523
86,easy,0,32,0.025261878967285156
87,easy,0,25,0.017267942428588867
88,easy,0,22,0.01715874671936035
89,easy,0,35,0.03146505355834961
90,easy,0,35,0.03624701499938965
91,easy,0,35,0.03138613700866699
92,easy,0,27,0.019417762756347656
93,easy,0,19,0.013944864273071289
94,easy,0,27,0.021081924438476562
95,easy,0,25,0.020495176315307617
96,easy,0,22,0.010523796081542969
97,easy,0,28,0.016823768615722656
98,easy,0,24,0.017065048217773438
99,easy,1,5,0.0040891170501708984
100,easy,0,24,0.021752119064331055
101,easy,0,42,0.043406009674072266
102,easy,0,26,0.02243208885192871
103,easy,0,25,0.014756202697753906
104,easy,0,30,0.046016693115234375
105,easy,0,20,0.010525941848754883
106,easy,0,32,0.03263497352600098
107,easy,0,17,0.011155128479003906
108,easy,0,35,0.03194117546081543
109,easy,0,23,0.017992019653320312
110,easy,0,18,0.008005857467651367
111,easy,0,25,0.02277994155883789
112,easy,0,45,0.0471949577331543
113,easy,0,35,0.03942108154296875
114,easy,0,37,0.03974413871765137
115,easy,0,28,0.023073911666870117
116,easy,0,16,0.016353607177734375
117,easy,0,31,0.031183719635009766
118,easy,0,31,0.02788710594177246
119,easy,0,23,0.014105796813964844
120,easy,1,3,0.0020589828491210938
121,easy,0,28,0.01986408233642578
122,easy,1,6,0.007056236267089844
123,easy,1,3,0.002737283706665039
124,easy,0,27,0.03252577781677246
125,easy,0,38,0.022716045379638672
126,easy,1,3,0.0020580291748046875
127,easy,0,30,0.02901291847229004
128,easy,1,4,0.0030629634857177734
129,easy,0,27,0.01456308364868164
130,easy,1,3,0.0022389888763427734
131,easy,0,18,0.01223301887512207
132,easy,0,27,0.016010046005249023
133,easy,0,26,0.01360630989074707
