Game,Level,Result,Num of steps,Time
0,hard,1,3,0.012678861618041992
1,hard,1,239,2.044848680496216
2,hard,1,3,0.012103080749511719
3,hard,1,3,0.01176309585571289
4,hard,1,142,1.1111750602722168
5,hard,1,3,0.010380029678344727
6,hard,0,294,1.7447760105133057
7,hard,1,4,0.01538991928100586
8,hard,1,321,1.6139106750488281
9,hard,1,62,0.41789698600769043
10,hard,1,3,0.011678218841552734
11,hard,1,8,0.038201093673706055
12,hard,1,48,0.28256988525390625
13,hard,0,110,1.2261559963226318
14,hard,1,19,0.09312796592712402
15,hard,1,5,0.021438121795654297
16,hard,0,275,2.634819984436035
17,hard,0,148,1.6811270713806152
18,hard,1,111,0.7723109722137451
19,hard,1,3,0.010785102844238281
20,hard,1,3,0.011608123779296875
21,hard,1,3,0.011457204818725586
22,hard,1,165,1.2821331024169922
23,hard,1,5,0.022107839584350586
24,hard,1,207,1.2473821640014648
25,hard,0,104,0.8754720687866211
26,hard,1,3,0.012735843658447266
27,hard,1,91,0.5467419624328613
28,hard,1,4,0.016782045364379883
29,hard,1,19,0.09819602966308594
30,hard,1,14,0.07166004180908203
31,hard,0,137,1.3837077617645264
32,hard,0,127,1.155043125152588
33,hard,1,168,0.9604499340057373
34,hard,1,64,0.3966178894042969
35,hard,0,122,1.2730402946472168
36,hard,0,123,1.164794921875
37,hard,1,3,0.011799097061157227
38,hard,1,6,0.025383949279785156
39,hard,0,135,1.9934630393981934
40,hard,0,135,1.6004631519317627
41,hard,1,180,1.2533607482910156
42,hard,1,3,0.011977910995483398
43,hard,1,38,0.20149707794189453
44,hard,1,6,0.0269930362701416
45,hard,0,117,1.4291529655456543
46,hard,0,131,1.210005760192871
47,hard,1,91,0.5790767669677734
48,hard,1,245,1.9987540245056152
49,hard,1,3,0.010767221450805664
50,hard,1,10,0.04792499542236328
51,hard,0,121,1.345202922821045
52,hard,1,3,0.011860132217407227
53,hard,0,312,1.6691689491271973
54,hard,1,5,0.025278091430664062
55,hard,1,160,1.3256709575653076
56,hard,1,4,0.01738905906677246
57,hard,1,3,0.011591911315917969
58,hard,1,203,1.465385913848877
59,hard,1,5,0.02375316619873047
60,hard,1,135,0.9484541416168213
61,hard,0,138,1.847944736480713
62,hard,0,143,1.713942050933838
63,hard,1,112,1.0217652320861816
64,hard,1,3,0.012167930603027344
65,hard,1,5,0.023181915283203125
66,hard,1,3,0.01141214370727539
67,hard,1,5,0.0220489501953125
68,hard,1,29,0.16841793060302734
69,hard,1,118,0.8346014022827148
70,hard,1,5,0.02207016944885254
71,hard,0,115,0.957974910736084
72,hard,1,196,1.7099900245666504
73,hard,1,4,0.017194032669067383
74,hard,1,3,0.01093912124633789
75,hard,1,61,0.30799007415771484
76,hard,1,9,0.045404911041259766
77,hard,0,111,1.3752429485321045
78,hard,1,265,1.3576090335845947
79,hard,0,121,1.0218489170074463
80,hard,1,3,0.011967897415161133
81,hard,1,129,1.6605889797210693
82,hard,1,4,0.016910791397094727
83,hard,1,23,0.11410212516784668
84,hard,0,127,1.296983242034912
85,hard,1,4,0.016824960708618164
86,hard,0,297,1.6321642398834229
87,hard,1,173,1.1122918128967285
88,hard,1,3,0.011778116226196289
89,hard,1,104,0.916633129119873
90,hard,1,202,1.387584924697876
91,hard,1,274,1.6236751079559326
92,hard,1,6,0.03594684600830078
93,hard,1,12,0.11280274391174316
94,hard,1,5,0.05173206329345703
95,hard,1,6,0.046076059341430664
96,hard,0,131,1.3469538688659668
97,hard,1,126,1.3489911556243896
98,hard,0,129,1.3369898796081543
99,hard,1,183,1.459312915802002
100,hard,1,3,0.011039972305297852
101,hard,1,7,0.0312497615814209
102,hard,1,79,0.5032820701599121
103,hard,0,110,1.1224868297576904
104,hard,0,138,1.4867289066314697
105,hard,1,5,0.023624897003173828
106,hard,1,3,0.01151585578918457
107,hard,0,128,1.0688612461090088
108,hard,0,102,1.1310021877288818
109,hard,1,4,0.019137144088745117
110,hard,0,155,1.8085250854492188
111,hard,1,11,0.05452609062194824
112,hard,1,235,2.018101930618286
113,hard,0,89,1.108083963394165
114,hard,1,6,0.02844977378845215
115,hard,1,100,0.6013920307159424
116,hard,1,173,1.4793789386749268
117,hard,1,11,0.05506467819213867
118,hard,1,6,0.024976253509521484
119,hard,1,3,0.010004997253417969
120,hard,1,3,0.011586904525756836
121,hard,0,100,1.2402739524841309
122,hard,1,5,0.022204875946044922
123,hard,1,6,0.027302265167236328
124,hard,1,3,0.011471986770629883
125,hard,1,230,1.7142159938812256
126,hard,1,9,0.0439910888671875
127,hard,1,4,0.015537261962890625
128,hard,1,114,0.8865439891815186
129,hard,0,116,1.2411479949951172
130,hard,1,3,0.011814117431640625
131,hard,1,19,0.10215497016906738
132,hard,1,3,0.011475801467895508
133,hard,1,253,1.7012841701507568
134,hard,1,6,0.026724815368652344
135,hard,1,3,0.011483192443847656
136,hard,1,4,0.01664900779724121
137,hard,1,117,0.6671597957611084
138,hard,1,7,0.03353095054626465
139,hard,1,162,1.2906289100646973
140,hard,1,75,0.4645512104034424
141,hard,1,22,0.1099100112915039
142,hard,1,4,0.017048120498657227
143,hard,1,119,0.8671941757202148
144,hard,1,5,0.023654937744140625
145,hard,1,3,0.010413169860839844
146,hard,1,3,0.012255191802978516
147,hard,1,19,0.103790283203125
148,hard,0,306,2.1608259677886963
149,hard,1,8,0.03747415542602539
150,hard,0,126,1.654266119003296
151,hard,1,114,0.996157169342041
152,hard,1,8,0.035878896713256836
153,hard,1,7,0.03249001502990723
154,hard,1,267,2.325838088989258
155,hard,1,3,0.0121307373046875
156,hard,1,114,0.8000328540802002
157,hard,1,3,0.011853933334350586
158,hard,1,3,0.011404037475585938
159,hard,0,100,1.3426668643951416
160,hard,1,212,2.136824607849121
161,hard,1,7,0.03261709213256836
162,hard,0,134,1.7169530391693115
163,hard,1,5,0.021915912628173828
164,hard,0,128,1.5978717803955078
165,hard,1,7,0.03353071212768555
166,hard,1,20,0.10380792617797852
167,hard,1,5,0.021638154983520508
168,hard,1,241,1.4535479545593262
169,hard,1,5,0.02321791648864746
170,hard,1,111,0.7785599231719971
171,hard,1,7,0.03183722496032715
172,hard,1,6,0.029230117797851562
173,hard,1,4,0.015908002853393555
174,hard,1,3,0.011367082595825195
175,hard,1,3,0.010890007019042969
176,hard,1,261,2.756932020187378
177,hard,1,3,0.012064933776855469
178,hard,1,4,0.018110990524291992
179,hard,1,10,0.049384117126464844
180,hard,1,306,2.6833322048187256
181,hard,1,57,0.32717084884643555
182,hard,1,3,0.010195016860961914
183,hard,1,273,3.2948479652404785
184,hard,0,127,1.0299828052520752
185,hard,0,130,1.693821907043457
186,hard,1,201,1.2379510402679443
187,hard,1,5,0.022095203399658203
188,hard,1,8,0.038465023040771484
189,hard,1,62,0.4043693542480469
190,hard,1,6,0.02833414077758789
191,hard,1,207,1.4543919563293457
192,hard,1,27,0.1629643440246582
193,hard,1,4,0.01761913299560547
194,hard,1,4,0.016550779342651367
195,hard,1,3,0.012357950210571289
196,hard,1,19,0.0982351303100586
197,hard,1,5,0.02209782600402832
198,hard,1,5,0.021513938903808594
199,hard,1,238,1.447187900543213
200,hard,0,112,1.2995598316192627
201,hard,1,5,0.022197961807250977
202,hard,1,4,0.017010927200317383
203,hard,1,6,0.028277158737182617
204,hard,1,5,0.02217888832092285
205,hard,1,64,0.4202601909637451
206,hard,1,3,0.011677980422973633
207,hard,1,3,0.011665105819702148
208,hard,1,3,0.00999903678894043
209,hard,0,129,1.573038101196289
210,hard,1,3,0.011544942855834961
