Game,Level,Result,Num of steps,Time
0,medium,1,4,0.00917196273803711
1,medium,1,3,0.0055811405181884766
2,medium,1,37,0.0913088321685791
3,medium,0,106,0.3189530372619629
4,medium,0,162,0.464000940322876
5,medium,0,112,0.397550106048584
6,medium,1,117,0.3419151306152344
7,medium,1,3,0.005828142166137695
8,medium,1,17,0.04476428031921387
9,medium,1,12,0.03237795829772949
10,medium,1,63,0.2633352279663086
11,medium,1,72,0.18403196334838867
12,medium,0,122,0.33536267280578613
13,medium,1,12,0.03178596496582031
14,medium,0,112,0.32332324981689453
15,medium,0,137,0.439892053604126
16,medium,0,135,0.5663597583770752
17,medium,1,4,0.009103059768676758
18,medium,0,129,0.44703006744384766
19,medium,1,3,0.005835056304931641
20,medium,0,109,0.3814270496368408
21,medium,0,127,0.44065403938293457
22,medium,1,121,0.36010074615478516
23,medium,1,111,0.3480722904205322
24,medium,1,6,0.01488494873046875
25,medium,0,121,0.3365950584411621
26,medium,1,3,0.006089925765991211
27,medium,0,116,0.46628499031066895
28,medium,1,4,0.007791996002197266
29,medium,0,126,0.5141110420227051
30,medium,1,87,0.24874401092529297
31,medium,1,5,0.01211094856262207
32,medium,1,3,0.005135059356689453
33,medium,0,116,0.3617367744445801
34,medium,0,106,0.23143315315246582
35,medium,1,4,0.007824897766113281
36,medium,0,108,0.2985038757324219
37,medium,1,3,0.006227016448974609
38,medium,0,115,0.24328184127807617
39,medium,1,5,0.011988162994384766
40,medium,0,122,0.3636770248413086
41,medium,0,94,0.3246500492095947
42,medium,0,154,0.6168539524078369
43,medium,1,59,0.23218798637390137
44,medium,1,9,0.023048877716064453
45,medium,0,111,0.39723992347717285
46,medium,0,55,0.1611788272857666
47,medium,1,10,0.025686025619506836
48,medium,0,68,0.22934913635253906
49,medium,0,116,0.40995097160339355
50,medium,0,129,0.43518900871276855
51,medium,0,126,0.35112714767456055
52,medium,1,106,0.3085291385650635
53,medium,1,44,0.14060592651367188
54,medium,0,124,0.4225468635559082
55,medium,0,109,0.31760573387145996
56,medium,0,123,0.3018169403076172
57,medium,0,157,0.692267894744873
58,medium,0,55,0.1565248966217041
59,medium,1,4,0.008726119995117188
60,medium,0,119,0.43533802032470703
61,medium,0,113,0.43086695671081543
62,medium,0,89,0.30815696716308594
63,medium,1,105,0.40434908866882324
64,medium,0,115,0.3819570541381836
65,medium,1,115,0.40779995918273926
66,medium,0,73,0.24129223823547363
67,medium,0,112,0.33481407165527344
68,medium,0,75,0.23035168647766113
69,medium,1,6,0.013655900955200195
70,medium,1,99,0.3009979724884033
71,medium,1,3,0.005910158157348633
72,medium,0,121,0.49405694007873535
73,medium,1,26,0.07886099815368652
74,medium,0,141,0.3804337978363037
75,medium,0,134,0.3899199962615967
76,medium,0,58,0.2153608798980713
77,medium,0,59,0.16745209693908691
78,medium,0,78,0.2925839424133301
79,medium,1,4,0.00800466537475586
80,medium,1,3,0.006443023681640625
81,medium,1,3,0.005916118621826172
82,medium,1,3,0.005693912506103516
83,medium,1,124,0.42307567596435547
84,medium,0,114,0.35349488258361816
85,medium,1,3,0.0059549808502197266
86,medium,0,122,0.4060659408569336
87,medium,0,124,0.46071600914001465
88,medium,0,57,0.19574332237243652
89,medium,0,155,0.776587963104248
90,medium,0,134,0.41425395011901855
91,medium,0,63,0.2296888828277588
92,medium,0,61,0.17991185188293457
93,medium,0,104,0.3341410160064697
94,medium,0,84,0.46083831787109375
95,medium,0,116,0.27576303482055664
96,medium,1,101,0.3313429355621338
97,medium,1,81,0.2840080261230469
98,medium,1,5,0.01149296760559082
99,medium,1,3,0.006513833999633789
100,medium,1,3,0.005681276321411133
101,medium,1,4,0.008798837661743164
102,medium,0,147,0.5426371097564697
103,medium,0,59,0.2825429439544678
104,medium,1,3,0.005898952484130859
105,medium,1,3,0.005419015884399414
106,medium,0,145,0.4527878761291504
107,medium,0,137,0.4142608642578125
108,medium,0,124,0.3822770118713379
109,medium,1,101,0.39786219596862793
110,medium,1,27,0.07071280479431152
111,medium,0,134,0.44608116149902344
112,medium,1,3,0.0059032440185546875
113,medium,0,68,0.2445991039276123
114,medium,0,125,0.46509480476379395
115,medium,0,118,0.3845541477203369
116,medium,1,5,0.012197017669677734
117,medium,1,111,0.38128185272216797
118,medium,1,43,0.10251498222351074
119,medium,1,3,0.006033182144165039
120,medium,1,138,0.33629703521728516
121,medium,1,3,0.005461931228637695
122,medium,0,111,0.35380125045776367
123,medium,0,140,0.5650029182434082
124,medium,1,4,0.008125066757202148
125,medium,1,103,0.3157980442047119
126,medium,0,130,0.3860630989074707
127,medium,0,151,0.5581979751586914
128,medium,1,5,0.011921882629394531
129,medium,1,3,0.0051801204681396484
130,medium,0,130,0.44410276412963867
131,medium,1,3,0.006573915481567383
132,medium,1,77,0.2419908046722412
133,medium,1,8,0.019230127334594727
134,medium,1,4,0.008472204208374023
135,medium,0,122,0.5531487464904785
136,medium,1,107,0.3916890621185303
137,medium,1,4,0.009621143341064453
138,medium,0,117,0.40406084060668945
139,medium,0,121,0.4110751152038574
140,medium,0,137,0.47774529457092285
141,medium,1,89,0.27452611923217773
142,medium,0,118,0.33505725860595703
143,medium,1,4,0.008769989013671875
144,medium,0,63,0.2028942108154297
145,medium,0,65,0.25111818313598633
146,medium,0,110,0.3264739513397217
147,medium,0,69,0.21490216255187988
148,medium,1,101,0.33586716651916504
149,medium,1,84,0.2559669017791748
150,medium,0,114,0.30414485931396484
151,medium,1,8,0.02102208137512207
152,medium,1,3,0.005053281784057617
153,medium,1,11,0.028352022171020508
154,medium,0,69,0.21248292922973633
155,medium,0,112,0.31394505500793457
156,medium,1,136,0.4350879192352295
157,medium,0,121,0.4907400608062744
158,medium,1,9,0.023257017135620117
159,medium,0,105,0.3962287902832031
160,medium,0,48,0.14008688926696777
161,medium,0,123,0.38735079765319824
162,medium,0,134,0.4841468334197998
163,medium,0,57,0.11777496337890625
164,medium,0,120,0.3615281581878662
165,medium,0,132,0.44711804389953613
166,medium,1,4,0.00857400894165039
167,medium,1,3,0.0053310394287109375
168,medium,0,138,0.47917699813842773
169,medium,0,134,0.4340658187866211
170,medium,1,7,0.01752495765686035
171,medium,1,33,0.09756588935852051
172,medium,1,125,0.35024499893188477
173,medium,1,3,0.0061109066009521484
174,medium,1,3,0.006597995758056641
175,medium,1,3,0.005964994430541992
176,medium,0,125,0.3651289939880371
177,medium,1,61,0.19602203369140625
178,medium,0,62,0.19868087768554688
179,medium,0,116,0.46453094482421875
180,medium,0,55,0.2454221248626709
181,medium,1,100,0.3087022304534912
182,medium,0,124,0.3985629081726074
183,medium,0,110,0.28635406494140625
184,medium,1,3,0.005975008010864258
185,medium,1,3,0.006016969680786133
186,medium,1,3,0.005373954772949219
187,medium,1,6,0.014215946197509766
